i_image_id,l_label_name,d_label_display_name,thumbnail_300k_url,subset
1e256a452ff5dadc,/m/0gd36,Sea lion,https://c2.staticflickr.com/6/5068/5692761085_07e12255d1_z.jpg,test
da14505bba4442b9,/m/09qck,Banana,https://c6.staticflickr.com/6/5200/7397028162_86964a32e1_z.jpg,train
9a6747129ee9d39d,/m/03g8mr,Baseball bat,https://c8.staticflickr.com/4/3102/2842894496_df528b7828_z.jpg,test
0052cb267268c59e,/m/0gd36,Sea lion,https://c3.staticflickr.com/4/3890/15111817319_fd859f0933_z.jpg,train
3abf7b42f3db2374,/m/02hj4,Dolphin,https://c6.staticflickr.com/9/8345/8194430330_b898f84d0b_z.jpg,train
06b9450194965cca,/m/02hj4,Dolphin,https://c8.staticflickr.com/6/5082/5245370846_5c12156b9e_z.jpg,test
8ad4cd73e2fa2699,/m/09qck,Banana,https://c8.staticflickr.com/8/7095/7335638410_b50c78d922_z.jpg,train
c5c9fefb70efaba2,/m/03g8mr,Baseball bat,https://c1.staticflickr.com/7/6024/5981000821_4b8d3d9c35_z.jpg,train
a0620646a2b9d6e7,/m/09k_b,Lemon,https://c2.staticflickr.com/8/7741/17113724397_d1f2c7c787_z.jpg,test
d9f8ccfdf09032d9,/m/09k_b,Lemon,https://c3.staticflickr.com/9/8261/8665368897_0103f20f66_z.jpg,test
8a30a6927dbf432d,/m/02hj4,Dolphin,https://c2.staticflickr.com/8/7506/15686434418_72a75f7b09_z.jpg,train
3da04c2fb53aaba2,/m/02hj4,Dolphin,https://c1.staticflickr.com/9/8291/7664640088_cef1f4b386_z.jpg,train
00bb5720a7ba062e,/m/09k_b,Lemon,https://c2.staticflickr.com/3/2785/4083035814_43f8439427_z.jpg,train
00bb5720a7ba062e,/m/09qck,Banana,https://c2.staticflickr.com/3/2785/4083035814_43f8439427_z.jpg,train
155edfa8bd699b63,/m/02hj4,Dolphin,https://c3.staticflickr.com/5/4107/4979045140_7f5502889b_z.jpg,train
8c3e59aae143360e,/m/09qck,Banana,https://c6.staticflickr.com/3/2185/2743462224_ff7b15003d_z.jpg?zz=1,train
e51dcba43b0c7982,/m/09k_b,Lemon,https://c7.staticflickr.com/6/5447/7191567400_73416abb7e_z.jpg,test
f2a7b5f45e528844,/m/0gd36,Sea lion,https://c1.staticflickr.com/4/3253/2910850839_95b39ecc60_z.jpg,train
e07150d3e2e3a2b7,/m/09k_b,Lemon,https://c8.staticflickr.com/9/8579/15337652723_eec6d64e92_z.jpg,train
02263791c97055bf,/m/03g8mr,Baseball bat,https://c8.staticflickr.com/8/7314/9355000323_07fde8a901_z.jpg,train
02a03f1654eaf6b0,/m/09qck,Banana,https://c7.staticflickr.com/3/2057/2028236166_e03297708e_z.jpg?zz=1,train
7ab8e574bebfc066,/m/02hj4,Dolphin,https://c2.staticflickr.com/7/6192/6160409214_9f6446dbef_z.jpg,train
15a58402fcf22a0c,/m/09qck,Banana,https://c2.staticflickr.com/4/3690/9179371271_9b4cf7b92f_z.jpg,train
91ded83b3f0b9006,/m/09qck,Banana,https://c4.staticflickr.com/1/107/262740456_aa84a4e894_z.jpg,train
79844bcaf439d2b4,/m/03g8mr,Baseball bat,https://c8.staticflickr.com/6/5086/5237107674_e3d0b3f224_z.jpg,train
ba74fa64a6d835f9,/m/02hj4,Dolphin,https://c8.staticflickr.com/3/2680/4478902450_725888e7f1_z.jpg,train
f617bb28a2a75636,/m/0gd36,Sea lion,https://c6.staticflickr.com/4/3740/13141127105_011db2e86f_z.jpg,train
97fcd4d6cde61f37,/m/09k_b,Lemon,https://c1.staticflickr.com/1/23/38574408_49caeac406_z.jpg?zz=1,train
7d27430cb52bf78e,/m/0gd36,Sea lion,https://c2.staticflickr.com/4/3869/15015776269_180794401b_z.jpg,train
3104d4c09dac033f,/m/03g8mr,Baseball bat,https://c5.staticflickr.com/8/7453/13917856758_b82fb5500a_z.jpg,train
1e1e54b0e4b182d2,/m/02hj4,Dolphin,https://c5.staticflickr.com/4/3876/14669636399_529f7d6d31_z.jpg,train
0101b136cf908cc5,/m/09qck,Banana,https://c1.staticflickr.com/9/8562/16158372791_2d25b2c4c7_z.jpg,train
91b964f3c7f1069a,/m/03g8mr,Baseball bat,https://c3.staticflickr.com/1/692/21016121831_39ccbf345d_z.jpg,train
c460c977d7620fc1,/m/09qck,Banana,https://c4.staticflickr.com/1/76/219986046_c9ebb6ec21_z.jpg?zz=1,train
0b47788f3a490686,/m/03g8mr,Baseball bat,https://c2.staticflickr.com/6/5770/21188701512_94e1e1582b_z.jpg,train
bc19ebe4235f5738,/m/09qck,Banana,https://c6.staticflickr.com/6/5236/5848843576_3383396262_z.jpg,train
e76521dcf7ff594a,/m/02hj4,Dolphin,https://c5.staticflickr.com/3/2301/5732445195_465ca5ae9f_z.jpg,train
fd6930670dc09d43,/m/09qck,Banana,https://c2.staticflickr.com/3/2269/2308453902_5eba2c6f05_z.jpg,train
10784bc3a1c16720,/m/0gd36,Sea lion,https://c5.staticflickr.com/5/4120/4903392124_d80f77654f_z.jpg,train
102d6fb9fa38f756,/m/09k_b,Lemon,https://c4.staticflickr.com/4/3700/11932109376_0a58469c32_z.jpg,train
fbd499d3acaad46b,/m/09k_b,Lemon,https://c5.staticflickr.com/1/187/393465392_6c2f045228_z.jpg?zz=1,train
d80ffccc58ee2ced,/m/09qck,Banana,https://c1.staticflickr.com/6/5559/15062824640_9b48ac9fa2_z.jpg,train
af24b304e9eddf5b,/m/0gd36,Sea lion,https://c8.staticflickr.com/1/29/59906949_ad7b529b2a_z.jpg,train
41e33ca97575a1a4,/m/09k_b,Lemon,https://c5.staticflickr.com/9/8066/8228177037_43bbbf5de4_z.jpg,train
